episode,vanilla,mean_baseline,critic,rloo
711,443.0,500.0,500.0,500.0
712,500.0,500.0,500.0,497.0
713,500.0,500.0,500.0,500.0
714,500.0,500.0,500.0,500.0
715,500.0,500.0,500.0,224.0
716,500.0,500.0,500.0,476.0
717,500.0,500.0,500.0,500.0
718,500.0,500.0,500.0,500.0
719,500.0,500.0,500.0,500.0
720,500.0,500.0,500.0,500.0
721,500.0,500.0,500.0,500.0
722,462.0,500.0,500.0,500.0
723,500.0,429.0,500.0,500.0
724,500.0,500.0,500.0,500.0
725,500.0,500.0,500.0,500.0
726,500.0,500.0,500.0,500.0
727,500.0,500.0,500.0,500.0
728,500.0,500.0,500.0,460.0
729,500.0,500.0,500.0,500.0
730,500.0,500.0,500.0,500.0
731,395.0,500.0,500.0,500.0
732,372.0,500.0,305.0,430.0
733,346.0,500.0,500.0,500.0
734,500.0,500.0,500.0,500.0
735,500.0,500.0,500.0,500.0
736,500.0,500.0,109.0,448.0
737,500.0,500.0,500.0,482.0
738,500.0,500.0,500.0,252.0
739,500.0,500.0,500.0,452.0
740,500.0,500.0,500.0,247.0
741,500.0,500.0,500.0,239.0
742,500.0,500.0,500.0,263.0
743,500.0,500.0,500.0,429.0
744,468.0,500.0,500.0,243.0
745,500.0,500.0,500.0,283.0
746,306.0,500.0,500.0,227.0
747,500.0,500.0,500.0,150.0
748,500.0,500.0,500.0,266.0
749,500.0,500.0,500.0,200.0
750,500.0,500.0,500.0,195.0
751,500.0,500.0,500.0,191.0
752,500.0,500.0,500.0,129.0
753,500.0,500.0,500.0,203.0
754,500.0,500.0,500.0,139.0
755,500.0,500.0,500.0,208.0
756,500.0,500.0,500.0,126.0
757,500.0,500.0,500.0,131.0
758,285.0,500.0,500.0,129.0
759,500.0,500.0,500.0,135.0
760,237.0,500.0,500.0,117.0
761,500.0,500.0,500.0,128.0
762,500.0,500.0,500.0,150.0
763,500.0,366.0,500.0,175.0
764,500.0,500.0,500.0,163.0
765,500.0,500.0,500.0,127.0
766,500.0,500.0,500.0,157.0
767,467.0,500.0,500.0,130.0
768,500.0,500.0,500.0,165.0
769,500.0,500.0,500.0,177.0
